date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:01	25573/25573	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202019%2016:17:01%20GMT	https://demonhahang1.web30s.vn/	C:/Users/h/Desktop/Demo_web/restaurant02/res02/demonhahang1.web30s.vn/index.html	(from )
23:17:01	23/23	---MC-	200	added ('OK')	text/plain	date:Tue,%2012%20Nov%202019%2016:17:01%20GMT	https://demonhahang1.web30s.vn/robots.txt		(from )
23:17:01	4733/4733	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202017%2007:48:00%20GMT	https://demonhahang1.web30s.vn/datafiles/4290/upload/images/14774645692679_logo.png	C:/Users/h/Desktop/Demo_web/restaurant02/res02/demonhahang1.web30s.vn/datafiles/4290/upload/images/14774645692679_logo.png	(from https://demonhahang1.web30s.vn/)
23:17:02	93435/93435	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2031%20Aug%202019%2011:43:28%20GMT	https://cdn.web30s.vn/js/jquery-1.8.2.min.js	C:/Users/h/Desktop/Demo_web/restaurant02/res02/cdn.web30s.vn/js/jquery-1.8.2.min.js	(from https://demonhahang1.web30s.vn/)
23:17:02	11394/11394	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Jun%202018%2008:41:44%20GMT	https://cdn.web30s.vn/css/jquery.mCustomScrollbar.css	C:/Users/h/Desktop/Demo_web/restaurant02/res02/cdn.web30s.vn/css/jquery.mCustomScrollbar.css	(from https://demonhahang1.web30s.vn/)
23:17:02	119097/119097	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202019%2012:31:29%20GMT	https://demonhahang1.web30s.vn/css/global.css?v=6.8.1	C:/Users/h/Desktop/Demo_web/restaurant02/res02/demonhahang1.web30s.vn/css/global7d5c.css	(from https://demonhahang1.web30s.vn/)
23:17:03	2404/2404	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Jun%202018%2008:41:44%20GMT	https://cdn.web30s.vn/css/divbox.css	C:/Users/h/Desktop/Demo_web/restaurant02/res02/cdn.web30s.vn/css/divbox.css	(from https://demonhahang1.web30s.vn/)
23:17:03	2632/2632	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Jun%202018%2008:41:44%20GMT	https://cdn.web30s.vn/css/bxslider.css	C:/Users/h/Desktop/Demo_web/restaurant02/res02/cdn.web30s.vn/css/bxslider.css	(from https://demonhahang1.web30s.vn/)
23:17:03	13775/13775	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Feb%202019%2004:09:53%20GMT	https://cdn.web30s.vn/js/divbox.js	C:/Users/h/Desktop/Demo_web/restaurant02/res02/cdn.web30s.vn/js/divbox.js	(from https://demonhahang1.web30s.vn/)
23:17:04	43971/43971	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Nov%202019%2016:17:04%20GMT	https://demonhahang1.web30s.vn/js/me.php	C:/Users/h/Desktop/Demo_web/restaurant02/res02/demonhahang1.web30s.vn/js/me.php	(from https://demonhahang1.web30s.vn/)
